Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:52 AM,27 °C,23 °C,81 %,S,17 km/h,0 km/h,"1,009.34 hPa",0.0 mm,Partly Cloudy
1:52 AM,26 °C,23 °C,82 %,S,13 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
2:52 AM,26 °C,23 °C,87 %,S,11 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
3:48 AM,26 °C,23 °C,83 %,SSW,17 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Thunder in the Vicinity
3:52 AM,26 °C,23 °C,82 %,NNW,35 km/h,61 km/h,"1,009.00 hPa",0.0 mm,Thunder in the Vicinity
3:57 AM,24 °C,19 °C,73 %,NNW,52 km/h,76 km/h,"1,009.00 hPa",0.0 mm,Light Rain with Thunder
4:07 AM,22 °C,19 °C,84 %,NNW,41 km/h,67 km/h,"1,009.00 hPa",0.0 mm,T-Storm / Windy
4:12 AM,21 °C,19 °C,87 %,NNW,33 km/h,54 km/h,"1,009.34 hPa",0.8 mm,Heavy T-Storm / Windy
4:21 AM,21 °C,19 °C,90 %,N,24 km/h,44 km/h,"1,009.34 hPa",6.3 mm,Heavy T-Storm
4:25 AM,21 °C,19 °C,93 %,N,17 km/h,0 km/h,"1,009.00 hPa",7.4 mm,Light Rain with Thunder
4:31 AM,21 °C,19 °C,90 %,N,24 km/h,0 km/h,"1,009.00 hPa",7.4 mm,Light Rain
4:52 AM,21 °C,19 °C,87 %,NNE,17 km/h,0 km/h,"1,008.67 hPa",7.9 mm,Light Rain
5:52 AM,21 °C,19 °C,87 %,SE,9 km/h,0 km/h,"1,009.00 hPa",0.8 mm,Light Rain
6:52 AM,22 °C,19 °C,84 %,NE,11 km/h,0 km/h,"1,008.67 hPa",1.0 mm,Mostly Cloudy
7:52 AM,22 °C,19 °C,84 %,NNE,15 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
8:33 AM,23 °C,20 °C,84 %,N,11 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
8:52 AM,24 °C,20 °C,79 %,NNW,13 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
9:20 AM,24 °C,20 °C,79 %,NNW,13 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Partly Cloudy
9:52 AM,24 °C,20 °C,76 %,N,9 km/h,0 km/h,"1,008.67 hPa",0.0 mm,Partly Cloudy
10:52 AM,26 °C,20 °C,69 %,N,11 km/h,0 km/h,"1,009.00 hPa",0.0 mm,Partly Cloudy
11:52 AM,28 °C,20 °C,60 %,NNW,17 km/h,30 km/h,"1,008.67 hPa",0.0 mm,Partly Cloudy
12:52 PM,28 °C,19 °C,56 %,NNW,20 km/h,35 km/h,"1,008.67 hPa",0.0 mm,Mostly Cloudy
1:52 PM,29 °C,20 °C,57 %,N,19 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
2:52 PM,31 °C,20 °C,53 %,N,13 km/h,0 km/h,"1,007.65 hPa",0.0 mm,Partly Cloudy
3:52 PM,30 °C,18 °C,48 %,VAR,9 km/h,28 km/h,"1,007.65 hPa",0.0 mm,Partly Cloudy
4:52 PM,31 °C,18 °C,46 %,N,22 km/h,0 km/h,"1,007.99 hPa",0.0 mm,Partly Cloudy
5:52 PM,30 °C,18 °C,48 %,NNW,20 km/h,0 km/h,"1,007.99 hPa",0.0 mm,Mostly Cloudy
6:52 PM,29 °C,17 °C,47 %,NNW,17 km/h,0 km/h,"1,007.99 hPa",0.0 mm,Mostly Cloudy
7:52 PM,28 °C,17 °C,51 %,NNW,15 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
8:52 PM,28 °C,17 °C,51 %,NW,15 km/h,0 km/h,"1,008.33 hPa",0.0 mm,Mostly Cloudy
9:52 PM,27 °C,17 °C,52 %,NW,15 km/h,0 km/h,"1,009.00 hPa",0.0 mm,Mostly Cloudy
10:52 PM,27 °C,17 °C,54 %,NW,20 km/h,0 km/h,"1,009.00 hPa",0.0 mm,Partly Cloudy
11:52 PM,26 °C,17 °C,58 %,NW,17 km/h,0 km/h,"1,009.34 hPa",0.0 mm,Mostly Cloudy
